0.0000,-1,-1
0.0628,-1,-1
0.1502,-1,-1
0.2062,-1,-1
0.2376,-1,-1
0.2702,-1,-1
0.3022,-1,-1
0.3521,-1,-1
0.3704,-1,-1
0.3982,-1,-1
0.4308,-1,-1
0.4625,-1,-1
0.5300,-1,-1
0.5511,-1,-1
0.5740,-1,-1
0.6055,-1,-1
0.6378,-1,-1
0.6693,-1,-1
0.7087,-1,-1
0.7547,-1,-1
0.7698,-1,-1
0.8079,-1,-1
0.8307,-1,-1
0.8622,-1,-1
0.9097,-1,-1
0.9416,-1,-1
0.9910,-1,-1
1.0078,-1,-1
1.0469,-1,-1
1.0734,-1,-1
1.1204,-1,-1
1.1364,-1,-1
1.1818,-1,-1
1.2003,-1,-1
1.2307,-1,-1
1.2627,-1,-1
1.3116,-1,-1
1.3593,-1,-1
1.3762,-1,-1
1.4050,-1,-1
1.4547,-1,-1
1.4719,-1,-1
1.5012,-1,-1
1.5382,-1,-1
1.5658,-1,-1
1.5976,-1,-1
1.6292,-1,-1
1.6612,-1,-1
1.7280,-1,-1
1.7428,-1,-1
1.7856,-1,-1
1.8061,-1,-1
1.8564,-1,-1
1.8721,-1,-1
1.9017,-1,-1
1.9333,-1,-1
1.9709,-1,-1
1.9974,-1,-1
2.0301,-1,-1
2.0799,-1,-1
2.1271,-1,-1
2.1437,-1,-1
2.1763,-1,-1
2.2051,-1,-1
2.2553,-1,-1
2.2789,-1,-1
2.3012,-1,-1
2.3515,-1,-1
2.3683,-1,-1
2.3977,-1,-1
2.4304,-1,-1
2.4808,-1,-1
2.5108,-1,-1
2.5590,-1,-1
2.5763,-1,-1
2.6056,-1,-1
2.6563,-1,-1
2.6728,-1,-1
2.7175,-1,-1
2.7409,-1,-1
2.7795,-1,-1
2.8054,-1,-1
2.8298,-1,-1
2.8736,-1,-1
2.9271,-1,-1
2.9500,-1,-1
2.9735,-1,-1
3.0273,-1,-1
3.0432,-1,-1
3.0869,-1,-1
3.1038,-1,-1
3.1515,-1,-1
3.1680,-1,-1
3.2137,-1,-1
3.2313,-1,-1
3.2633,-1,-1
3.3293,-1,-1
3.3454,-1,-1
3.3886,-1,-1
3.4068,-1,-1
3.4372,-1,-1
3.4700,-1,-1
3.5063,-1,-1
3.5385,-1,-1
3.5825,-1,-1
3.5997,-1,-1
3.6468,-1,-1
3.6639,-1,-1
3.7147,-1,-1
3.7566,-1,-1
3.7749,-1,-1
3.8052,-1,-1
3.8562,-1,-1
3.8712,-1,-1
3.9176,-1,-1
3.9357,-1,-1
3.9810,-1,-1
3.9977,-1,-1
4.0494,-1,-1
4.0660,-1,-1
4.1293,-1,-1
4.1454,-1,-1
4.1902,-1,-1
4.2074,-1,-1
4.2503,-1,-1
4.2703,-1,-1
4.3183,-1,-1
4.3355,-1,-1
4.3703,-1,-1
4.4109,-1,-1
4.4296,-1,-1
4.4750,-1,-1
4.5271,-1,-1
4.5438,-1,-1
4.5737,-1,-1
4.6061,-1,-1
4.6554,-1,-1
4.6791,-1,-1
4.7124,-1,-1
4.7434,-1,-1
4.7669,-1,-1
4.8140,-1,-1
4.8313,-1,-1
4.8734,-1,-1
4.9263,-1,-1
4.9438,-1,-1
4.9733,-1,-1
5.0058,-1,-1
5.0420,-1,-1
5.0733,-1,-1
5.1046,-1,-1
5.1333,-1,-1
5.1715,-1,-1
5.1978,-1,-1
5.2374,-1,-1
5.2614,-1,-1
5.3086,-1,-1
5.3562,-1,-1
5.3746,-1,-1
5.4042,-1,-1
5.4534,-1,-1
5.4764,-1,-1
5.5088,-1,-1
5.5432,-1,-1
5.5689,-1,-1
5.6095,-1,-1
5.6328,-1,-1
5.6776,-1,-1
5.7086,-1,-1
5.7402,-1,-1
5.7731,-1,-1
5.8051,-1,-1
5.8545,-1,-1
5.8771,-1,-1
5.9100,-1,-1
5.9387,-1,-1
